Cushing's Syndrome,Endocrine Disorders
Cyclic Vomiting Syndrome,Digestive Disorders
De Quervain's Thyroiditis,Endocrine Disorders
Dementia,Mental
Depression,Mental
Dermatitis herpetiformis,Autoimmune
Dermatomyositis,Autoimmune
Diabetes,Endocrine Disorders
Diabetes mellitus type 1,Autoimmune
Diarrhea,Digestive Disorders
Diffuse idiopathic skeletal hyperostosis (DISH),Joints
Discoid lupus erythematosus,Autoimmune
Dissociative disorders,Mental
Diverticulitis,Digestive Disorders
Diverticulosis ,Digestive Disorders
Ductal Carcinoma,Cancers
Dumping Syndrome,Digestive Disorders
Eating Disorders,Mental
Ehlers-Danlos syndrome (EDS),Joints
Endometrial Cancer,Cancers
Endometriosis,Autoimmune
Enthesitis,Autoimmune
Enthesitis-related arthritis,Autoimmune
Eosinophilic esophagitis,Autoimmune
Eosinophilic fasciitis,Autoimmune
Epidermolysis bullosa acquisita,Autoimmune
Erythema nodosum,Autoimmune
Esophageal Cancer,Cancers
Essential mixed cryoglobulinemia,Autoimmune
Evans syndrome,Autoimmune
Felty syndrome,Autoimmune
Fibromyalgia,Joints
Fibromyalgia,Autoimmune
Follicular Thyroid Cancer,Endocrine Disorders
Foodborne Illnesses,Digestive Disorders
Gallstones,Digestive Disorders
Gas,Digestive Disorders
Gastric Cancer,Cancers
Gastritis,Digestive Disorders
Gastritis,Autoimmune
Gastrontestinal Stromal Tumor - GIST,Cancers
Gastroparesis,Digestive Disorders
Gestational Diabetes,Endocrine Disorders
Gestational pemphigoid,Autoimmune
GI Bleeding,Digestive Disorders
Giant cell arteritis,Autoimmune
Goiters,Endocrine Disorders
Gonococcal arthritis,Joints
Goodpasture syndrome,Autoimmune
Gout,Joints
Graves ophthalmopathy,Autoimmune
Graves' Disease,Endocrine Disorders
Graves' disease,Autoimmune
Growth Disorders,Endocrine Disorders
Growth Hormone Deficiency,Endocrine Disorders
Guillain–Barré syndrome,Autoimmune
Hashimoto Thyroiditis,Autoimmune
Hashimoto's Encephalopathy,Autoimmune
Hashimoto's Thyroiditis,Endocrine Disorders
Heart arrhythmia,Heart
Heart Disease,Endocrine Disorders
Heart failure,Heart
Hemorrhoids,Digestive Disorders
Henoch-Schonlein purpura,Autoimmune
HER2-Positive Breast Cancer,Cancers
Hidradenitis suppurativa,Autoimmune
Hurthle Cell Thyroid Cancer,Endocrine Disorders
Hyperglycemia,Endocrine Disorders
Hyperparathyroidism,Endocrine Disorders
Hyperthyroidism,Endocrine Disorders
Hypoglycemia,Endocrine Disorders
Hypoparathyroidism,Endocrine Disorders
Hypothyroidism,Endocrine Disorders
Idiopathic inflammatory demyelinating diseases,Autoimmune
IgG4-related systemic disease,Autoimmune
Inclusion body myositis,Autoimmune
Indigestion (Dyspepsia),Digestive Disorders
Inflamatory Bowel Disease (IBD),Autoimmune
Inguinal Hernia,Digestive Disorders
Intermediate uveitis,Autoimmune
Interstitial cystitis,Autoimmune
Intestinal Pseudo-obstruction,Digestive Disorders
Irritable Bowel Syndrome (IBS),Digestive Disorders
Islet Cell Tumor,Cancers
Juvenile Arthritis,Autoimmune
Juvenile Polyposis Syndrome,Cancers
Juvenille Rheumatoid Arthritis (JRA),Joints
Kawasaki's disease,Autoimmune
Kidney Cancer,Cancers
Lactose Intolerance,Digestive Disorders
Lambert-Eaton myasthenic syndrome,Autoimmune
Laryngeal Cancer,Cancers
Leaky Gut,Digestive Disorders
Leukemia - Acute Lymphoblastic Leukemia,Cancers
Leukemia - Acute Lymphocytic (ALL),Cancers
Leukemia - Acute Myeloid AML,Cancers
Leukemia - Adult,Cancers
Leukemia - Childhood,Cancers
Leukemia - Chronic Lymphocytic - CLL,Cancers
Leukemia - Chronic Myeloid - CML,Cancers
Leukocytoclastic vasculitis,Autoimmune
Lichen planus,Autoimmune
Lichen sclerosus,Autoimmune
Ligneous conjunctivitis,Autoimmune
Linear IgA disease,Autoimmune
Liver Cancer,Cancers
Liver Disease,Digestive Disorders
Lobular Carcinoma,Cancers
Low Testosterone,Endocrine Disorders
Lung Cancer,Cancers
Lung Cancer - Small Cell,Cancers
Lupus nephritis,Autoimmune
Lupus vasculitis,Autoimmune
Lyme disease (Chronic),Autoimmune
Lymes Disease,Joints
Lymphoma - Hodgkin's,Cancers
Lymphoma - Non-Hodgkin's,Cancers
Malignant Glioma,Cancers
Medullary Thyroid Cancer,Endocrine Disorders
Melanoma,Cancers
Ménétrier’s Disease,Digestive Disorders
Ménière's disease,Autoimmune
Meningioma,Cancers
Menopause,Endocrine Disorders
Metabolic Syndrome,Endocrine Disorders
Microscopic Colitis,Digestive Disorders
Microscopic colitis,Autoimmune
Microscopic polyangiitis,Autoimmune
Mitral Valve Prolapse,Heart
Mixed connective tissue disease,Autoimmune
Mood Disorders,Mental
Mooren's ulcer,Autoimmune
Morphea,Autoimmune
Mucha-Habermann disease,Autoimmune
Multiple Myeloma,Cancers
Multiple sclerosis,Autoimmune
Myasthenia gravis,Autoimmune
Myelodysplastic Syndrome (MDS),Cancers
Myocarditis,Autoimmune
Myositis,Autoimmune
Nasopharyngeal Cancer,Cancers
Neuroendocrine Tumor,Cancers
Neuromyelitis optica,Autoimmune
Neuromyotonia,Autoimmune
Obesity,Endocrine Disorders
OCD,Mental
Opsoclonus myoclonus syndrome,Autoimmune
Optic neuritis,Autoimmune
Oral Cancer,Cancers
Ord's thyroiditis,Autoimmune
Osteoarthritis,Joints
Osteomalacia,Joints
Osteoporosis,Endocrine Disorders
Osteoporosis,Joints
Osteosarcoma,Cancers
Ovarian Cancer,Cancers
Pagets Disease,Joints
Palindromic rheumatism,Autoimmune
Pancreatic Cancer,Cancers
Pancreatic Neuroendocrine Tumors,Cancers
Pancreatitis,Digestive Disorders
Panic Attacks,Mental
Papillary Thyroid Cancer,Endocrine Disorders
Paraneoplastic cerebellar degeneration,Autoimmune
Parathyroid Cancer,Cancers
Parathyroid Diseases,Endocrine Disorders
Parry Romberg syndrome,Autoimmune
Parsonage-Turner syndrome,Autoimmune
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus,Autoimmune
Pemphigus vulgaris,Autoimmune
Penile Cancer,Cancers
Peptic Ulcers (Stomach Ulcers),Digestive Disorders
Peritoneal Cancer,Cancers
Pernicious anemia,Autoimmune
Personality disorders,Mental
Peutz-Jeghers Syndrome,Cancers
Pheochromocytoma,Endocrine Disorders
Pituitary Disorders,Endocrine Disorders
Pituitary Gland Tumor,Cancers
Pituitary Tumors,Endocrine Disorders
Pityriasis lichenoides et varioliformis acuta,Autoimmune
POEMS syndrome,Autoimmune
Polyarteritis nodosa,Autoimmune
Polycystic Ovary Syndrome,Endocrine Disorders
Polycythemia Vera,Cancers
Polymyalgia rheumatica,Autoimmune
Polymyalgia rheumatica (PMR),Joints
Polymyositis,Autoimmune
Postmyocardial infarction syndrome,Autoimmune
Postpericardiotomy Syndrome,Heart
Postpericardiotomy syndrome,Autoimmune
Prediabetes,Endocrine Disorders
Primary biliary cirrhosis,Autoimmune
Primary immunodeficiency,Autoimmune
Primary sclerosing cholangitis,Autoimmune
Proctitis,Digestive Disorders
Progressive inflammatory neuropathy,Autoimmune
Prostate Cancer,Cancers
Psoriasis,Autoimmune
Psoriatic Arthritis,Joints
Psoriatic arthritis,Autoimmune
PTSD,Mental
Pure red cell aplasia,Autoimmune
Pyoderma gangrenosum,Autoimmune
Raynaud's phenomenon,Joints
Raynaud’s phenomenon,Autoimmune
Reactive arthritis,Joints
Reactive arthritis,Autoimmune
Relapsing polychondritis,Autoimmune
Renal Cell Carcinoma,Cancers
Repetitive strain injury,Joints
Restless leg syndrome,Autoimmune
Retinoblastoma,Cancers
Retroperitoneal fibrosis,Autoimmune
Rhematoid arthritis,Joints
Rheumatic fever,Autoimmune
Rheumatoid arthritis,Autoimmune
Rheumatoid vasculitis,Autoimmune
Salivary Gland Cancer,Cancers
Sarcoidosis,Autoimmune
Sarcoma,Cancers
Sarcoma - Kaposi,Cancers
Schizophrenia,Mental
Schnitzler syndrome,Autoimmune
Scleroderma,Autoimmune
Short Bowel Syndrome,Digestive Disorders
Silent Thyroiditis,Endocrine Disorders
Sjogren's syndrome,Autoimmune
Skin Cancer,Cancers
Small Intestine Cancer,Cancers
Stiff person syndrome,Autoimmune
Stomach Cancer,Cancers
Stress response syndromes,Mental
Subacute bacterial endocarditis,Autoimmune
Susac's syndrome,Autoimmune
Sydenham chorea,Autoimmune
Sympathetic ophthalmia,Autoimmune
Systemic Lupus Erythematosus,Autoimmune
Systemic Lupus Erythematosus (SLE),Joints
Systemic scleroderma,Autoimmune
Testicular Cancer,Cancers
Thrombocytopenia,Autoimmune
Thymoma,Cancers
Thyroid Cancer,Cancers
Thyroid Cancer,Endocrine Disorders
Thyroid Diseases,Endocrine Disorders
Thyroid Nodules,Endocrine Disorders
Thyroiditis,Endocrine Disorders
Tolosa-Hunt syndrome,Autoimmune
Transverse myelitis,Autoimmune
Turner Syndrome,Endocrine Disorders
Type 1 Diabetes,Endocrine Disorders
Type 2 Diabetes,Endocrine Disorders
Ulcerative Colitis,Digestive Disorders
Ulcerative colitis,Autoimmune
Undifferentiated connective tissue disease,Autoimmune
Urticaria,Autoimmune
Urticarial vasculitis,Autoimmune
Uterine (Endometrial) Cancer,Cancers
Vaginal Cancer,Cancers
Vascular disease,Heart
Vasculitis,Autoimmune
Viral Gastroenteritis,Digestive Disorders
Vitiligo,Autoimmune
Whipple Disease,Digestive Disorders
Wilms' Tumor ,Cancers
Zollinger-Ellison Syndrome,Digestive Disorders
